,YEAR,MONTH,DAY,BAROMETER,THERMOMETER,LATITUDE,LONGITUDE
0,1838,12,13,29.294,,,
1,1838,12,13,29.26,,,
2,1838,12,13,29.274,,,
3,1838,12,14,29.36,,,
4,1838,12,14,29.296,,,
5,1838,12,16,29.316,,,
6,1838,12,16,29.302,,,
7,1838,12,16,29.28,,,
8,1838,12,17,29.38,,,
9,1838,12,17,29.36,,,
10,1838,12,17,29.34,,,
11,1838,12,19,29.244,,,
12,1838,12,19,29.242,,,
13,1838,12,19,29.202,,,
14,1838,12,20,29.38,,,
15,1838,12,20,29.369,,,
16,1838,12,20,29.314,,,
17,1838,12,21,29.36,,,
18,1838,12,21,29.3,,,
19,1838,12,21,29.21,,,
20,1838,12,22,29.24,,,
21,1838,12,22,29.23,,,
22,1838,12,22,29.21,,,
23,1838,12,23,29.24,,,
24,1838,12,23,29.2214,,,
25,1838,12,23,29.1431,,,
26,1838,12,24,29.2122,,,
27,1838,12,24,29.1334,,,
28,1838,12,24,29.1122,,,
29,1838,12,27,29.41,,,
30,1838,12,27,29.404,,,
31,1838,12,27,29.3314,,,
32,1839,1,1,30.031,,,
33,1839,1,1,30.0,,,
34,1839,1,3,30.0224,,,
35,1839,1,3,30.0122,,,
36,1839,1,3,29.912,,,
37,1839,1,4,30.0,,,
38,1839,1,4,29.8411,,,
39,1839,1,4,29.8312,,,
40,1839,1,5,29.944,,,
41,1839,1,5,29.9017,,,
42,1839,1,5,29.831,,,
43,1839,1,6,30.1,,,
44,1839,1,6,30.0415,,,
45,1839,1,6,30.011,,,
46,1839,2,7,30.13,,,
47,1839,2,7,30.11,,,
48,1839,2,7,30.016,,,
49,1839,2,10,29.83,,,
50,1839,2,10,29.8,,,
51,1839,2,10,29.72,,,
52,1839,2,11,29.829,,,
53,1839,2,11,29.8,,,
54,1839,2,11,29.71,,,
55,1839,2,12,29.81,,,
56,1839,2,12,29.73,,,
57,1839,2,12,29.62,,,
58,1839,2,13,29.617,,,
59,1839,2,13,29.6,,,
60,1839,2,13,29.51,,,
61,1839,2,14,29.64,,,
62,1839,2,14,29.63,,,
63,1839,2,14,29.617,,,
64,1839,2,15,29.847,,,
65,1839,2,15,29.824,,,
66,1839,2,15,29.74,,,
67,1839,2,16,29.91,,,
68,1839,2,16,29.84,,,
69,1839,2,16,29.8016,,,
70,1839,2,18,29.83,,,
71,1839,2,18,29.8311,,,
72,1839,2,18,29.8,,,
73,1839,2,19,29.8,,,
74,1839,2,19,29.72,,,
75,1839,2,27,29.918,,,
76,1839,2,27,29.832,,,
77,1839,3,1,29.812,,,
78,1839,3,2,29.82,,,
79,1839,3,2,29.835,,,
80,1839,3,2,29.754,,,
81,1839,3,3,29.887,,,
82,1839,3,3,29.848,,,
83,1839,3,3,29.771,,,
84,1839,3,4,29.725,,,
85,1839,3,4,29.783,,,
86,1839,3,4,29.807,,,
87,1839,3,4,29.732,,,
88,1839,3,7,29.446,,,
89,1839,3,7,29.438,,,
90,1839,3,7,29.33,,,
91,1839,3,8,29.343,,,
92,1839,3,8,29.372,,,
93,1839,3,8,29.237,,,
94,1839,3,9,29.292,,,
95,1839,3,9,29.263,,,
96,1839,3,9,29.436,,,
97,1839,3,11,,,,
98,1839,3,11,29.406,,,
99,1839,3,11,29.335,,,
100,1839,3,12,29.218,,,
101,1839,3,12,29.21,,,
102,1839,3,12,29.13,,,
103,1839,3,13,29.071,,,
104,1839,3,13,29.063,,,
105,1839,3,13,28.966,,,
106,1839,3,13,28.968,,,
107,1839,3,14,28.988,,,
108,1839,3,14,28.995,,,
109,1839,3,14,28.92,,,
110,1839,3,15,28.429,,,
111,1839,3,15,28.339,,,
112,1839,3,15,28.317,,,
113,1839,3,16,27.605,,,
114,1839,3,16,27.603,,,
115,1839,3,16,27.524,,,
116,1839,3,17,27.513,,,
117,1839,3,17,27.514,,,
118,1839,3,17,27.454,,,
119,1839,3,18,25.669,,,
120,1839,3,20,,,,
121,1839,3,20,,,,
122,1839,3,23,,,,
123,1839,3,23,,,,
124,1839,3,24,,,,
125,1839,3,27,24.72,,,
126,1839,3,27,,,,
127,1839,4,2,24.728,,,
128,1839,4,2,,,,
129,1839,4,8,25.124,,,
130,1839,4,8,25.043,,,
131,1839,4,9,25.292,,,
132,1839,4,9,25.206,,,
133,1839,4,11,23.586,,,
134,1839,4,11,23.578,,,
135,1839,6,28,26.24,,,
136,1839,6,29,25.858,,,
137,1839,6,30,25.699,,,
138,1839,6,30,25.689,,,
139,1839,6,30,25.676,,,
140,1839,7,1,25.512,,,
141,1839,7,1,25.494,,,
142,1839,7,1,25.494,,,
143,1839,7,1,25.478,,,
144,1839,7,3,25.028,,,
145,1839,7,3,25.004,,,
146,1839,7,3,24.97,,,
147,1839,7,4,24.714,,,
148,1839,7,4,24.705,,,
149,1839,7,5,24.765,,,
150,1839,7,5,24.753,,,
151,1839,7,5,24.753,,,
152,1839,7,5,24.743,,,
153,1839,7,5,24.743,,,
154,1839,7,5,24.738,,,
155,1839,7,6,24.532,,,
156,1839,7,6,24.505,,,
157,1839,7,6,24.5,,,
158,1839,7,7,24.402,,,
159,1839,7,7,24.378,,,
160,1839,7,8,24.193,,,
161,1839,7,8,24.185,,,
162,1839,7,8,24.181,,,
163,1839,7,9,24.058,,,
164,1839,7,9,24.046,,,
165,1839,7,9,24.046,,,
166,1839,7,10,24.062,,,
167,1839,7,10,24.054,,,
168,1839,7,10,24.006,,,
169,1839,7,11,23.941,,,
170,1839,7,11,23.941,,,
171,1839,7,11,23.934,,,
172,1839,7,12,23.858,,,
173,1839,7,12,23.806,,,
174,1839,7,12,23.806,,,
175,1839,7,12,23.806,,,
176,1839,7,13,23.609,,,
177,1839,7,13,23.58,,,
178,1839,7,14,23.52,,,
179,1839,7,14,23.52,,,
180,1839,7,15,23.601,,,
181,1839,7,15,23.594,,,
182,1839,7,15,23.594,,,
183,1839,7,15,23.591,,,
184,1839,7,15,23.591,,,
185,1839,7,15,23.586,,,
186,1839,7,15,23.578,,,
187,1839,7,16,23.397,,,
188,1839,7,17,23.305,,,
189,1839,7,17,23.287,,,
190,1839,7,17,23.453,,,
191,1839,7,18,23.435,,,
192,1839,7,18,23.412,,,
193,1839,7,19,23.277,,,
194,1839,7,19,23.263,,,
195,1839,7,19,23.246,,,
196,1839,7,20,23.336,,,
197,1839,7,22,,,,
198,1839,7,22,23.06,,,
199,1839,7,22,23.038,,,
200,1839,7,23,23.031,,,
201,1839,7,23,23.03,,,
202,1839,7,23,23.016,,,
203,1839,7,23,22.986,,,
204,1839,7,23,22.986,,,
205,1839,7,23,22.96,,,
206,1839,7,23,22.96,,,
207,1839,7,24,23.06,,,
208,1839,7,24,23.042,,,
209,1839,7,24,23.042,,,
210,1839,7,24,23.039,,,
211,1839,7,24,23.012,,,
